rgn_id,species_code,sust_coeff
1.0,490,0.316666667
1.0,434,0.17
1.0,732,0.811764706
1.0,802,0.444010417
1.0,1044,0.366666667
1.0,435,0.444010417
1.0,706,0.733333333
1.0,910,0.733333333
1.0,990,0.733333333
1.0,886,0.366666667
1.0,491,0.533333333
1.0,436,0.9
1.0,803,0.9
1.0,749,0.811764706
1.0,118,0.43
1.0,804,0.43
1.0,249,0.83
1.0,805,0.83
1.0,991,0.83
1.0,250,0.43
1.0,492,0.43
1.0,992,0.43
1.0,993,0.43
1.0,1023,0.811764706
1.0,251,0.17
1.0,493,0.17
1.0,994,0.17
1.0,1024,0.17
1.0,494,0.811764706
1.0,495,0.444010417
1.0,119,0.866666667
1.0,806,0.866666667
1.0,995,0.866666667
1.0,587,0.444010417
1.0,733,0.841666667
1.0,807,0.841666667
1.0,996,0.841666667
1.0,496,0.5
1.0,1025,0.5
1.0,862,0.477777778
1.0,437,0.533333333
1.0,997,0.533333333
1.0,863,0.444010417
1.0,887,0.444010417
1.0,998,0.444010417
1.0,1026,0.444010417
1.0,252,0.561111111
1.0,497,0.561111111
1.0,750,0.533333333
1.0,120,0.83
1.0,808,0.83
1.0,999,0.83
1.0,498,0.366666667
1.0,1045,0.366666667
1.0,1046,0.811764706
1.0,121,0.444010417
1.0,734,0.833333333
1.0,809,0.833333333
1.0,122,0.791666667
1.0,1000,0.791666667
1.0,911,0.444010417
1.0,1001,0.444010417
1.0,1027,0.444010417
1.0,1047,0.444010417
1.0,810,0.444010417
1.0,811,0.444010417
1.0,1028,0.444010417
1.0,499,0.5
1.0,1029,0.811764706
1.0,1030,0.811764706
1.0,500,0.811764706
1.0,912,0.444010417
2.0,490,0.316666667
2.0,434,0.17
2.0,732,0.811764706
2.0,802,0.444010417
2.0,1044,0.366666667
2.0,435,0.444010417
2.0,706,0.733333333
2.0,910,0.733333333
2.0,990,0.733333333
2.0,886,0.366666667
2.0,491,0.533333333
2.0,436,0.9
2.0,803,0.9
2.0,749,0.811764706
2.0,118,0.43
2.0,804,0.43
2.0,249,0.83
2.0,805,0.83
2.0,991,0.83
2.0,250,0.43
2.0,492,0.43
2.0,992,0.43
2.0,993,0.43
2.0,1023,0.811764706
2.0,251,0.17
2.0,493,0.17
2.0,994,0.17
2.0,1024,0.17
2.0,494,0.811764706
2.0,495,0.444010417
2.0,119,0.866666667
2.0,806,0.866666667
2.0,995,0.866666667
2.0,587,0.444010417
2.0,733,0.841666667
2.0,807,0.841666667
2.0,996,0.841666667
2.0,496,0.5
2.0,1025,0.5
2.0,862,0.477777778
2.0,437,0.533333333
2.0,997,0.533333333
2.0,863,0.444010417
2.0,887,0.444010417
2.0,998,0.444010417
2.0,1026,0.444010417
2.0,252,0.561111111
2.0,497,0.561111111
2.0,750,0.533333333
2.0,120,0.83
2.0,808,0.83
2.0,999,0.83
2.0,498,0.366666667
2.0,1045,0.366666667
2.0,1046,0.811764706
2.0,121,0.444010417
2.0,734,0.833333333
2.0,809,0.833333333
2.0,122,0.791666667
2.0,1000,0.791666667
2.0,911,0.444010417
2.0,1001,0.444010417
2.0,1027,0.444010417
2.0,1047,0.444010417
2.0,810,0.444010417
2.0,811,0.444010417
2.0,1028,0.444010417
2.0,499,0.5
2.0,1029,0.811764706
2.0,1030,0.811764706
2.0,500,0.811764706
2.0,912,0.444010417
3.0,490,0.316666667
3.0,434,0.17
3.0,732,0.811764706
3.0,802,0.444010417
3.0,1044,0.366666667
3.0,435,0.444010417
3.0,706,0.733333333
3.0,910,0.733333333
3.0,990,0.733333333
3.0,886,0.366666667
3.0,491,0.533333333
3.0,436,0.9
3.0,803,0.9
3.0,749,0.811764706
3.0,118,0.43
3.0,804,0.43
3.0,249,0.83
3.0,805,0.83
3.0,991,0.83
3.0,250,0.43
3.0,492,0.43
3.0,992,0.43
3.0,993,0.43
3.0,1023,0.811764706
3.0,251,0.17
3.0,493,0.17
3.0,994,0.17
3.0,1024,0.17
3.0,494,0.811764706
3.0,495,0.444010417
3.0,119,0.866666667
3.0,806,0.866666667
3.0,995,0.866666667
3.0,587,0.444010417
3.0,733,0.841666667
3.0,807,0.841666667
3.0,996,0.841666667
3.0,496,0.5
3.0,1025,0.5
3.0,862,0.477777778
3.0,437,0.533333333
3.0,997,0.533333333
3.0,863,0.444010417
3.0,887,0.444010417
3.0,998,0.444010417
3.0,1026,0.444010417
3.0,252,0.561111111
3.0,497,0.561111111
3.0,750,0.533333333
3.0,120,0.83
3.0,808,0.83
3.0,999,0.83
3.0,498,0.366666667
3.0,1045,0.366666667
3.0,1046,0.811764706
3.0,121,0.444010417
3.0,734,0.833333333
3.0,809,0.833333333
3.0,122,0.791666667
3.0,1000,0.791666667
3.0,911,0.444010417
3.0,1001,0.444010417
3.0,1027,0.444010417
3.0,1047,0.444010417
3.0,810,0.444010417
3.0,811,0.444010417
3.0,1028,0.444010417
3.0,499,0.5
3.0,1029,0.811764706
3.0,1030,0.811764706
3.0,500,0.811764706
3.0,912,0.444010417
4.0,490,0.316666667
4.0,434,0.17
4.0,732,0.811764706
4.0,802,0.444010417
4.0,1044,0.366666667
4.0,435,0.444010417
4.0,706,0.733333333
4.0,910,0.733333333
4.0,990,0.733333333
4.0,886,0.366666667
4.0,491,0.533333333
4.0,436,0.9
4.0,803,0.9
4.0,749,0.811764706
4.0,118,0.43
4.0,804,0.43
4.0,249,0.83
4.0,805,0.83
4.0,991,0.83
4.0,250,0.43
4.0,492,0.43
4.0,992,0.43
4.0,993,0.43
4.0,1023,0.811764706
4.0,251,0.17
4.0,493,0.17
4.0,994,0.17
4.0,1024,0.17
4.0,494,0.811764706
4.0,495,0.444010417
4.0,119,0.866666667
4.0,806,0.866666667
4.0,995,0.866666667
4.0,587,0.444010417
4.0,733,0.841666667
4.0,807,0.841666667
4.0,996,0.841666667
4.0,496,0.5
4.0,1025,0.5
4.0,862,0.477777778
4.0,437,0.533333333
4.0,997,0.533333333
4.0,863,0.444010417
4.0,887,0.444010417
4.0,998,0.444010417
4.0,1026,0.444010417
4.0,252,0.561111111
4.0,497,0.561111111
4.0,750,0.533333333
4.0,120,0.83
4.0,808,0.83
4.0,999,0.83
4.0,498,0.366666667
4.0,1045,0.366666667
4.0,1046,0.811764706
4.0,121,0.444010417
4.0,734,0.833333333
4.0,809,0.833333333
4.0,122,0.791666667
4.0,1000,0.791666667
4.0,911,0.444010417
4.0,1001,0.444010417
4.0,1027,0.444010417
4.0,1047,0.444010417
4.0,810,0.444010417
4.0,811,0.444010417
4.0,1028,0.444010417
4.0,499,0.5
4.0,1029,0.811764706
4.0,1030,0.811764706
4.0,500,0.811764706
4.0,912,0.444010417
5.0,490,0.316666667
5.0,434,0.17
5.0,732,0.811764706
5.0,802,0.444010417
5.0,1044,0.366666667
5.0,435,0.444010417
5.0,706,0.733333333
5.0,910,0.733333333
5.0,990,0.733333333
5.0,886,0.366666667
5.0,491,0.533333333
5.0,436,0.9
5.0,803,0.9
5.0,749,0.811764706
5.0,118,0.43
5.0,804,0.43
5.0,249,0.83
5.0,805,0.83
5.0,991,0.83
5.0,250,0.43
5.0,492,0.43
5.0,992,0.43
5.0,993,0.43
5.0,1023,0.811764706
5.0,251,0.17
5.0,493,0.17
5.0,994,0.17
5.0,1024,0.17
5.0,494,0.811764706
5.0,495,0.444010417
5.0,119,0.866666667
5.0,806,0.866666667
5.0,995,0.866666667
5.0,587,0.444010417
5.0,733,0.841666667
5.0,807,0.841666667
5.0,996,0.841666667
5.0,496,0.5
5.0,1025,0.5
5.0,862,0.477777778
5.0,437,0.533333333
5.0,997,0.533333333
5.0,863,0.444010417
5.0,887,0.444010417
5.0,998,0.444010417
5.0,1026,0.444010417
5.0,252,0.561111111
5.0,497,0.561111111
5.0,750,0.533333333
5.0,120,0.83
5.0,808,0.83
5.0,999,0.83
5.0,498,0.366666667
5.0,1045,0.366666667
5.0,1046,0.811764706
5.0,121,0.444010417
5.0,734,0.833333333
5.0,809,0.833333333
5.0,122,0.791666667
5.0,1000,0.791666667
5.0,911,0.444010417
5.0,1001,0.444010417
5.0,1027,0.444010417
5.0,1047,0.444010417
5.0,810,0.444010417
5.0,811,0.444010417
5.0,1028,0.444010417
5.0,499,0.5
5.0,1029,0.811764706
5.0,1030,0.811764706
5.0,500,0.811764706
5.0,912,0.444010417
6.0,490,0.316666667
6.0,434,0.17
6.0,732,0.811764706
6.0,802,0.444010417
6.0,1044,0.366666667
6.0,435,0.444010417
6.0,706,0.733333333
6.0,910,0.733333333
6.0,990,0.733333333
6.0,886,0.366666667
6.0,491,0.533333333
6.0,436,0.9
6.0,803,0.9
6.0,749,0.811764706
6.0,118,0.43
6.0,804,0.43
6.0,249,0.83
6.0,805,0.83
6.0,991,0.83
6.0,250,0.43
6.0,492,0.43
6.0,992,0.43
6.0,993,0.43
6.0,1023,0.811764706
6.0,251,0.17
6.0,493,0.17
6.0,994,0.17
6.0,1024,0.17
6.0,494,0.811764706
6.0,495,0.444010417
6.0,119,0.866666667
6.0,806,0.866666667
6.0,995,0.866666667
6.0,587,0.444010417
6.0,733,0.841666667
6.0,807,0.841666667
6.0,996,0.841666667
6.0,496,0.5
6.0,1025,0.5
6.0,862,0.477777778
6.0,437,0.533333333
6.0,997,0.533333333
6.0,863,0.444010417
6.0,887,0.444010417
6.0,998,0.444010417
6.0,1026,0.444010417
6.0,252,0.561111111
6.0,497,0.561111111
6.0,750,0.533333333
6.0,120,0.83
6.0,808,0.83
6.0,999,0.83
6.0,498,0.366666667
6.0,1045,0.366666667
6.0,1046,0.811764706
6.0,121,0.444010417
6.0,734,0.833333333
6.0,809,0.833333333
6.0,122,0.791666667
6.0,1000,0.791666667
6.0,911,0.444010417
6.0,1001,0.444010417
6.0,1027,0.444010417
6.0,1047,0.444010417
6.0,810,0.444010417
6.0,811,0.444010417
6.0,1028,0.444010417
6.0,499,0.5
6.0,1029,0.811764706
6.0,1030,0.811764706
6.0,500,0.811764706
6.0,912,0.444010417
7.0,490,0.316666667
7.0,434,0.17
7.0,732,0.811764706
7.0,802,0.444010417
7.0,1044,0.366666667
7.0,435,0.444010417
7.0,706,0.733333333
7.0,910,0.733333333
7.0,990,0.733333333
7.0,886,0.366666667
7.0,491,0.533333333
7.0,436,0.9
7.0,803,0.9
7.0,749,0.811764706
7.0,118,0.43
7.0,804,0.43
7.0,249,0.83
7.0,805,0.83
7.0,991,0.83
7.0,250,0.43
7.0,492,0.43
7.0,992,0.43
7.0,993,0.43
7.0,1023,0.811764706
7.0,251,0.17
7.0,493,0.17
7.0,994,0.17
7.0,1024,0.17
7.0,494,0.811764706
7.0,495,0.444010417
7.0,119,0.866666667
7.0,806,0.866666667
7.0,995,0.866666667
7.0,587,0.444010417
7.0,733,0.841666667
7.0,807,0.841666667
7.0,996,0.841666667
7.0,496,0.5
7.0,1025,0.5
7.0,862,0.477777778
7.0,437,0.533333333
7.0,997,0.533333333
7.0,863,0.444010417
7.0,887,0.444010417
7.0,998,0.444010417
7.0,1026,0.444010417
7.0,252,0.561111111
7.0,497,0.561111111
7.0,750,0.533333333
7.0,120,0.83
7.0,808,0.83
7.0,999,0.83
7.0,498,0.366666667
7.0,1045,0.366666667
7.0,1046,0.811764706
7.0,121,0.444010417
7.0,734,0.833333333
7.0,809,0.833333333
7.0,122,0.791666667
7.0,1000,0.791666667
7.0,911,0.444010417
7.0,1001,0.444010417
7.0,1027,0.444010417
7.0,1047,0.444010417
7.0,810,0.444010417
7.0,811,0.444010417
7.0,1028,0.444010417
7.0,499,0.5
7.0,1029,0.811764706
7.0,1030,0.811764706
7.0,500,0.811764706
7.0,912,0.444010417
8.0,490,0.316666667
8.0,434,0.17
8.0,732,0.811764706
8.0,802,0.444010417
8.0,1044,0.366666667
8.0,435,0.444010417
8.0,706,0.733333333
8.0,910,0.733333333
8.0,990,0.733333333
8.0,886,0.366666667
8.0,491,0.533333333
8.0,436,0.9
8.0,803,0.9
8.0,749,0.811764706
8.0,118,0.43
8.0,804,0.43
8.0,249,0.83
8.0,805,0.83
8.0,991,0.83
8.0,250,0.43
8.0,492,0.43
8.0,992,0.43
8.0,993,0.43
8.0,1023,0.811764706
8.0,251,0.17
8.0,493,0.17
8.0,994,0.17
8.0,1024,0.17
8.0,494,0.811764706
8.0,495,0.444010417
8.0,119,0.866666667
8.0,806,0.866666667
8.0,995,0.866666667
8.0,587,0.444010417
8.0,733,0.841666667
8.0,807,0.841666667
8.0,996,0.841666667
8.0,496,0.5
8.0,1025,0.5
8.0,862,0.477777778
8.0,437,0.533333333
8.0,997,0.533333333
8.0,863,0.444010417
8.0,887,0.444010417
8.0,998,0.444010417
8.0,1026,0.444010417
8.0,252,0.561111111
8.0,497,0.561111111
8.0,750,0.533333333
8.0,120,0.83
8.0,808,0.83
8.0,999,0.83
8.0,498,0.366666667
8.0,1045,0.366666667
8.0,1046,0.811764706
8.0,121,0.444010417
8.0,734,0.833333333
8.0,809,0.833333333
8.0,122,0.791666667
8.0,1000,0.791666667
8.0,911,0.444010417
8.0,1001,0.444010417
8.0,1027,0.444010417
8.0,1047,0.444010417
8.0,810,0.444010417
8.0,811,0.444010417
8.0,1028,0.444010417
8.0,499,0.5
8.0,1029,0.811764706
8.0,1030,0.811764706
8.0,500,0.811764706
8.0,912,0.444010417
9.0,490,0.316666667
9.0,434,0.17
9.0,732,0.811764706
9.0,802,0.444010417
9.0,1044,0.366666667
9.0,435,0.444010417
9.0,706,0.733333333
9.0,910,0.733333333
9.0,990,0.733333333
9.0,886,0.366666667
9.0,491,0.533333333
9.0,436,0.9
9.0,803,0.9
9.0,749,0.811764706
9.0,118,0.43
9.0,804,0.43
9.0,249,0.83
9.0,805,0.83
9.0,991,0.83
9.0,250,0.43
9.0,492,0.43
9.0,992,0.43
9.0,993,0.43
9.0,1023,0.811764706
9.0,251,0.17
9.0,493,0.17
9.0,994,0.17
9.0,1024,0.17
9.0,494,0.811764706
9.0,495,0.444010417
9.0,119,0.866666667
9.0,806,0.866666667
9.0,995,0.866666667
9.0,587,0.444010417
9.0,733,0.841666667
9.0,807,0.841666667
9.0,996,0.841666667
9.0,496,0.5
9.0,1025,0.5
9.0,862,0.477777778
9.0,437,0.533333333
9.0,997,0.533333333
9.0,863,0.444010417
9.0,887,0.444010417
9.0,998,0.444010417
9.0,1026,0.444010417
9.0,252,0.561111111
9.0,497,0.561111111
9.0,750,0.533333333
9.0,120,0.83
9.0,808,0.83
9.0,999,0.83
9.0,498,0.366666667
9.0,1045,0.366666667
9.0,1046,0.811764706
9.0,121,0.444010417
9.0,734,0.833333333
9.0,809,0.833333333
9.0,122,0.791666667
9.0,1000,0.791666667
9.0,911,0.444010417
9.0,1001,0.444010417
9.0,1027,0.444010417
9.0,1047,0.444010417
9.0,810,0.444010417
9.0,811,0.444010417
9.0,1028,0.444010417
9.0,499,0.5
9.0,1029,0.811764706
9.0,1030,0.811764706
9.0,500,0.811764706
9.0,912,0.444010417
10.0,490,0.316666667
10.0,434,0.17
10.0,732,0.811764706
10.0,802,0.444010417
10.0,1044,0.366666667
10.0,435,0.444010417
10.0,706,0.733333333
10.0,910,0.733333333
10.0,990,0.733333333
10.0,886,0.366666667
10.0,491,0.533333333
10.0,436,0.9
10.0,803,0.9
10.0,749,0.811764706
10.0,118,0.43
10.0,804,0.43
10.0,249,0.83
10.0,805,0.83
10.0,991,0.83
10.0,250,0.43
10.0,492,0.43
10.0,992,0.43
10.0,993,0.43
10.0,1023,0.811764706
10.0,251,0.17
10.0,493,0.17
10.0,994,0.17
10.0,1024,0.17
10.0,494,0.811764706
10.0,495,0.444010417
10.0,119,0.866666667
10.0,806,0.866666667
10.0,995,0.866666667
10.0,587,0.444010417
10.0,733,0.841666667
10.0,807,0.841666667
10.0,996,0.841666667
10.0,496,0.5
10.0,1025,0.5
10.0,862,0.477777778
10.0,437,0.533333333
10.0,997,0.533333333
10.0,863,0.444010417
10.0,887,0.444010417
10.0,998,0.444010417
10.0,1026,0.444010417
10.0,252,0.561111111
10.0,497,0.561111111
10.0,750,0.533333333
10.0,120,0.83
10.0,808,0.83
10.0,999,0.83
10.0,498,0.366666667
10.0,1045,0.366666667
10.0,1046,0.811764706
10.0,121,0.444010417
10.0,734,0.833333333
10.0,809,0.833333333
10.0,122,0.791666667
10.0,1000,0.791666667
10.0,911,0.444010417
10.0,1001,0.444010417
10.0,1027,0.444010417
10.0,1047,0.444010417
10.0,810,0.444010417
10.0,811,0.444010417
10.0,1028,0.444010417
10.0,499,0.5
10.0,1029,0.811764706
10.0,1030,0.811764706
10.0,500,0.811764706
10.0,912,0.444010417
