rgn_id,year,Ep
1.0,1989,0.0563628
1.0,1990,0.049561
1.0,1991,0.0492959
1.0,1992,0.0495499
1.0,1993,0.0501964
1.0,1994,0.0522921
1.0,1995,0.0514485
1.0,1996,0.0520483
1.0,1997,0.054493
1.0,1998,0.0547794
1.0,1999,0.0552711
1.0,2000,0.0579996
1.0,2001,0.056607
1.0,2002,0.0526121
1.0,2003,0.0518024
1.0,2004,0.0525414
1.0,2005,0.0529808
1.0,2006,0.0530389
1.0,2007,0.0534289
1.0,2008,0.0491558
1.0,2009,0.0454253
1.0,2010,0.0456651
1.0,2011,0.046636
1.0,2012,0.0482549
1.0,2013,0.0491591
2.0,1989,0.0563628
2.0,1990,0.049561
2.0,1991,0.0492959
2.0,1992,0.0495499
2.0,1993,0.0501964
2.0,1994,0.0522921
2.0,1995,0.0514485
2.0,1996,0.0520483
2.0,1997,0.054493
2.0,1998,0.0547794
2.0,1999,0.0552711
2.0,2000,0.0579996
2.0,2001,0.056607
2.0,2002,0.0526121
2.0,2003,0.0518024
2.0,2004,0.0525414
2.0,2005,0.0529808
2.0,2006,0.0530389
2.0,2007,0.0534289
2.0,2008,0.0491558
2.0,2009,0.0454253
2.0,2010,0.0456651
2.0,2011,0.046636
2.0,2012,0.0482549
2.0,2013,0.0491591
3.0,1989,0.0563628
3.0,1990,0.049561
3.0,1991,0.0492959
3.0,1992,0.0495499
3.0,1993,0.0501964
3.0,1994,0.0522921
3.0,1995,0.0514485
3.0,1996,0.0520483
3.0,1997,0.054493
3.0,1998,0.0547794
3.0,1999,0.0552711
3.0,2000,0.0579996
3.0,2001,0.056607
3.0,2002,0.0526121
3.0,2003,0.0518024
3.0,2004,0.0525414
3.0,2005,0.0529808
3.0,2006,0.0530389
3.0,2007,0.0534289
3.0,2008,0.0491558
3.0,2009,0.0454253
3.0,2010,0.0456651
3.0,2011,0.046636
3.0,2012,0.0482549
3.0,2013,0.0491591
4.0,1989,0.0563628
4.0,1990,0.049561
4.0,1991,0.0492959
4.0,1992,0.0495499
4.0,1993,0.0501964
4.0,1994,0.0522921
4.0,1995,0.0514485
4.0,1996,0.0520483
4.0,1997,0.054493
4.0,1998,0.0547794
4.0,1999,0.0552711
4.0,2000,0.0579996
4.0,2001,0.056607
4.0,2002,0.0526121
4.0,2003,0.0518024
4.0,2004,0.0525414
4.0,2005,0.0529808
4.0,2006,0.0530389
4.0,2007,0.0534289
4.0,2008,0.0491558
4.0,2009,0.0454253
4.0,2010,0.0456651
4.0,2011,0.046636
4.0,2012,0.0482549
4.0,2013,0.0491591
5.0,1989,0.0563628
5.0,1990,0.049561
5.0,1991,0.0492959
5.0,1992,0.0495499
5.0,1993,0.0501964
5.0,1994,0.0522921
5.0,1995,0.0514485
5.0,1996,0.0520483
5.0,1997,0.054493
5.0,1998,0.0547794
5.0,1999,0.0552711
5.0,2000,0.0579996
5.0,2001,0.056607
5.0,2002,0.0526121
5.0,2003,0.0518024
5.0,2004,0.0525414
5.0,2005,0.0529808
5.0,2006,0.0530389
5.0,2007,0.0534289
5.0,2008,0.0491558
5.0,2009,0.0454253
5.0,2010,0.0456651
5.0,2011,0.046636
5.0,2012,0.0482549
5.0,2013,0.0491591
6.0,1989,0.0563628
6.0,1990,0.049561
6.0,1991,0.0492959
6.0,1992,0.0495499
6.0,1993,0.0501964
6.0,1994,0.0522921
6.0,1995,0.0514485
6.0,1996,0.0520483
6.0,1997,0.054493
6.0,1998,0.0547794
6.0,1999,0.0552711
6.0,2000,0.0579996
6.0,2001,0.056607
6.0,2002,0.0526121
6.0,2003,0.0518024
6.0,2004,0.0525414
6.0,2005,0.0529808
6.0,2006,0.0530389
6.0,2007,0.0534289
6.0,2008,0.0491558
6.0,2009,0.0454253
6.0,2010,0.0456651
6.0,2011,0.046636
6.0,2012,0.0482549
6.0,2013,0.0491591
7.0,1989,0.0563628
7.0,1990,0.049561
7.0,1991,0.0492959
7.0,1992,0.0495499
7.0,1993,0.0501964
7.0,1994,0.0522921
7.0,1995,0.0514485
7.0,1996,0.0520483
7.0,1997,0.054493
7.0,1998,0.0547794
7.0,1999,0.0552711
7.0,2000,0.0579996
7.0,2001,0.056607
7.0,2002,0.0526121
7.0,2003,0.0518024
7.0,2004,0.0525414
7.0,2005,0.0529808
7.0,2006,0.0530389
7.0,2007,0.0534289
7.0,2008,0.0491558
7.0,2009,0.0454253
7.0,2010,0.0456651
7.0,2011,0.046636
7.0,2012,0.0482549
7.0,2013,0.0491591
8.0,1989,0.0563628
8.0,1990,0.049561
8.0,1991,0.0492959
8.0,1992,0.0495499
8.0,1993,0.0501964
8.0,1994,0.0522921
8.0,1995,0.0514485
8.0,1996,0.0520483
8.0,1997,0.054493
8.0,1998,0.0547794
8.0,1999,0.0552711
8.0,2000,0.0579996
8.0,2001,0.056607
8.0,2002,0.0526121
8.0,2003,0.0518024
8.0,2004,0.0525414
8.0,2005,0.0529808
8.0,2006,0.0530389
8.0,2007,0.0534289
8.0,2008,0.0491558
8.0,2009,0.0454253
8.0,2010,0.0456651
8.0,2011,0.046636
8.0,2012,0.0482549
8.0,2013,0.0491591
9.0,1989,0.0563628
9.0,1990,0.049561
9.0,1991,0.0492959
9.0,1992,0.0495499
9.0,1993,0.0501964
9.0,1994,0.0522921
9.0,1995,0.0514485
9.0,1996,0.0520483
9.0,1997,0.054493
9.0,1998,0.0547794
9.0,1999,0.0552711
9.0,2000,0.0579996
9.0,2001,0.056607
9.0,2002,0.0526121
9.0,2003,0.0518024
9.0,2004,0.0525414
9.0,2005,0.0529808
9.0,2006,0.0530389
9.0,2007,0.0534289
9.0,2008,0.0491558
9.0,2009,0.0454253
9.0,2010,0.0456651
9.0,2011,0.046636
9.0,2012,0.0482549
9.0,2013,0.0491591
10.0,1989,0.0563628
10.0,1990,0.049561
10.0,1991,0.0492959
10.0,1992,0.0495499
10.0,1993,0.0501964
10.0,1994,0.0522921
10.0,1995,0.0514485
10.0,1996,0.0520483
10.0,1997,0.054493
10.0,1998,0.0547794
10.0,1999,0.0552711
10.0,2000,0.0579996
10.0,2001,0.056607
10.0,2002,0.0526121
10.0,2003,0.0518024
10.0,2004,0.0525414
10.0,2005,0.0529808
10.0,2006,0.0530389
10.0,2007,0.0534289
10.0,2008,0.0491558
10.0,2009,0.0454253
10.0,2010,0.0456651
10.0,2011,0.046636
10.0,2012,0.0482549
10.0,2013,0.0491591
